Transaction ID,Item,Quantity,Payment Method,Location,Transaction Date
8598242629896,Smoothie,1,Digital Wallet,In-store,2015-08-15
2516810758409,Ice Cream,2,Cash,Takeaway,2015-09-02
7056379304204,Juice,3,Digital Wallet,In-store,2015-05-12
8995265702474,Cake,3,Digital Wallet,In-store,2015-02-11
3349415614288,Cake,2,Digital Wallet,Takeaway,2015-06-27
1842198333428,Smoothie,2,Digital Wallet,Takeaway,2015-08-17
4515773199159,Sandwich,1,Credit Card,Takeaway,2015-04-24
3380676457788,Sandwich,3,Digital Wallet,Takeaway,2015-08-19
4185870275379,Coffee,3,Digital Wallet,In-store,2015-09-11
3640199430263,Water,3,Credit Card,In-store,2015-10-18
2662127361730,Smoothie,1,Cash,Takeaway,2015-10-27
1377110047119,Coffee,3,Cash,Takeaway,2015-04-25
8850050345611,Yogurt,2,Credit Card,In-store,2015-10-17
0093157252033,Smoothie,2,Digital Wallet,Takeaway,2015-03-30
4924526048581,Yogurt,3,Digital Wallet,Takeaway,2015-01-02
3570944346818,Smoothie,2,Cash,In-store,2015-03-06
7921763159558,Salad,2,Cash,Takeaway,2015-05-21
0389350886435,Smoothie,3,Credit Card,Takeaway,2015-03-25
6783938130776,Cookie,1,Digital Wallet,Takeaway,2015-10-27
7218026819800,Smoothie,3,Cash,In-store,2015-08-23
4405148129297,Ice Cream,2,Digital Wallet,Takeaway,2015-05-26
5975291308690,Juice,2,Cash,Takeaway,2015-02-18
8342914816103,Soda,3,Credit Card,In-store,2015-03-31
1595017870214,Milk,1,Credit Card,Takeaway,2015-07-08
3423729389466,Cake,2,Credit Card,In-store,2015-08-30
8414721593260,Smoothie,2,Credit Card,Takeaway,2015-11-05
7113433796754,Cake,2,Credit Card,In-store,2015-12-23
7073885243278,Juice,2,Digital Wallet,Takeaway,2015-11-28
7361236314853,Cake,3,Cash,In-store,2015-09-20
3185317200682,Cookie,2,Credit Card,Takeaway,2015-09-17
2013534173384,Sandwich,3,Credit Card,Takeaway,2015-07-15
7350056206578,Tea,3,Cash,Takeaway,2015-09-13
1078067096846,Yogurt,2,Digital Wallet,In-store,2015-05-18
7402194165122,Cookie,2,Cash,In-store,2015-10-08
4393665424622,Water,1,Credit Card,Takeaway,2015-02-08
0054790534023,Cake,2,Digital Wallet,In-store,2015-03-08
5282111084604,Juice,2,Credit Card,Takeaway,2015-03-06
2605191809449,Coffee,3,Digital Wallet,Takeaway,2015-03-26
2860573362466,Sandwich,3,Digital Wallet,Takeaway,2015-05-18
6100337982292,Tea,2,Digital Wallet,In-store,2015-04-07
0361496771318,Salad,2,Credit Card,In-store,2015-08-13
2344163794726,Water,2,Credit Card,In-store,2015-10-26
4389046515508,Cookie,3,Cash,In-store,2015-05-30
5745726127246,Yogurt,1,Cash,Takeaway,2015-08-20
8143727065586,Milk,1,Credit Card,Takeaway,2015-03-19
2904963262612,Cookie,1,Digital Wallet,Takeaway,2015-11-30
3646532812161,Coffee,3,Cash,Takeaway,2015-03-06
6754736505899,Water,3,Credit Card,In-store,2015-08-11
6481426627936,Cookie,2,Cash,Takeaway,2015-04-10
2275713828786,Tea,1,Credit Card,In-store,2015-12-20
6355698770839,Juice,1,Cash,In-store,2015-09-30
6088440413868,Salad,2,Credit Card,In-store,2015-08-17
2472595286028,Milk,3,Cash,Takeaway,2015-09-30
6298774136320,Tea,2,Credit Card,In-store,2015-10-08
7416341477211,Yogurt,2,Cash,Takeaway,2015-12-14
1743694604008,Cake,2,Cash,Takeaway,2015-05-15
7532831099784,Soda,1,Cash,Takeaway,2015-05-25
0804316520296,Cake,3,Digital Wallet,Takeaway,2015-03-01
3687689229334,Cake,2,Credit Card,In-store,2015-08-26
5731906658426,Juice,3,Credit Card,Takeaway,2015-08-19
1479603591298,Cake,3,Credit Card,In-store,2015-06-18
2964896271525,Smoothie,3,Digital Wallet,In-store,2015-03-18
2750814847619,Tea,2,Cash,Takeaway,2015-09-15
5804292223469,Salad,3,Credit Card,Takeaway,2015-04-15
8945418711419,Soda,3,Cash,In-store,2015-08-27
9688479153659,Tea,3,Digital Wallet,In-store,2015-04-18
0091057980940,Tea,2,Digital Wallet,In-store,2015-01-31
6452307442726,Milk,2,Credit Card,In-store,2015-06-14
4971264526338,Coffee,2,Cash,Takeaway,2015-06-16
8368087854568,Soda,1,Cash,In-store,2015-01-13
1742436099744,Juice,2,Credit Card,Takeaway,2015-08-27
6280608406778,Ice Cream,3,Credit Card,Takeaway,2015-10-20
0556930425166,Soda,1,Cash,Takeaway,2015-01-21
3367173056027,Yogurt,2,Credit Card,In-store,2015-01-10
3687258470273,Sandwich,1,Digital Wallet,In-store,2015-05-19
9509776362042,Milk,3,Cash,Takeaway,2015-12-12
6818668000324,Cake,3,Cash,Takeaway,2015-11-04
7322685206496,Tea,3,Cash,In-store,2015-01-21
3031536085121,Yogurt,3,Digital Wallet,In-store,2015-03-19
2428708633388,Coffee,1,Credit Card,Takeaway,2015-10-22
6285471323153,Cake,1,Credit Card,In-store,2015-07-27
0055759697438,Water,3,Cash,Takeaway,2015-03-28
4743441397020,Yogurt,2,Cash,Takeaway,2015-12-11
4575964941677,Tea,2,Cash,Takeaway,2015-07-06
4947868390149,Coffee,1,Cash,In-store,2015-06-06
3374896071442,Smoothie,3,Credit Card,In-store,2015-01-07
8128174280638,Smoothie,1,Digital Wallet,Takeaway,2015-12-27
1292609695889,Coffee,2,Credit Card,Takeaway,2015-12-11
2278509871812,Yogurt,2,Digital Wallet,Takeaway,2015-05-05
9245599592531,Sandwich,1,Digital Wallet,In-store,2015-09-19
3086634998217,Ice Cream,2,Digital Wallet,Takeaway,2015-01-31
8956484125871,Water,3,Credit Card,Takeaway,2015-01-29
9525146606783,Sandwich,2,Credit Card,In-store,2015-04-22
3366277272678,Ice Cream,3,Digital Wallet,In-store,2015-12-20
6542709674228,Smoothie,1,Cash,In-store,2015-06-05
1067329939151,Yogurt,3,Credit Card,In-store,2015-11-11
0530336094997,Sandwich,2,Credit Card,In-store,2015-08-12
6094577818605,Soda,3,Digital Wallet,In-store,2015-05-12
4828359451511,Smoothie,2,Digital Wallet,Takeaway,2015-07-01
3974623242055,Water,1,Digital Wallet,In-store,2015-06-24
0209419838796,Coffee,2,Digital Wallet,Takeaway,2016-06-04
4106169531228,Soda,2,Credit Card,In-store,2016-07-23
3706594000460,Ice Cream,1,Digital Wallet,Takeaway,2016-01-08
8554319264933,Cake,2,Credit Card,Takeaway,2016-04-26
8401253783054,Cookie,3,Credit Card,In-store,2016-06-01
7794394394878,Ice Cream,3,Digital Wallet,Takeaway,2016-01-21
6394253055899,Cake,2,Digital Wallet,In-store,2016-04-18
5769906260240,Milk,1,Cash,In-store,2016-07-22
8887200108475,Ice Cream,3,Cash,In-store,2016-04-01
2988935681816,Juice,2,Cash,In-store,2016-08-05
5858128116036,Tea,1,Credit Card,In-store,2016-07-13
5098393352672,Ice Cream,3,Cash,In-store,2016-11-08
2380714719251,Water,2,Digital Wallet,In-store,2016-07-04
5651435803831,Water,2,Digital Wallet,Takeaway,2016-02-26
7995732791964,Salad,3,Cash,Takeaway,2016-05-29
3472896140066,Water,3,Cash,In-store,2016-03-31
3664061999344,Water,2,Credit Card,In-store,2016-10-05
7172698949954,Coffee,2,Digital Wallet,Takeaway,2016-05-24
9723368654715,Tea,2,Credit Card,Takeaway,2016-10-04
8163495108766,Smoothie,3,Digital Wallet,Takeaway,2016-07-16
0381800921260,Cookie,1,Cash,In-store,2016-04-23
5914275532034,Juice,1,Digital Wallet,Takeaway,2016-02-06
4662889645527,Sandwich,2,Cash,Takeaway,2016-10-23
1347854586106,Milk,3,Cash,In-store,2016-04-14
2776565302092,Salad,3,Cash,In-store,2016-01-22
7597159761034,Coffee,2,Cash,Takeaway,2016-12-19
0162212103563,Coffee,3,Credit Card,In-store,2016-05-22
2225514523014,Coffee,2,Digital Wallet,In-store,2016-06-20
7902322276084,Coffee,1,Cash,Takeaway,2016-02-07
6917160488088,Yogurt,2,Digital Wallet,In-store,2016-08-22
9745833295612,Sandwich,1,Digital Wallet,In-store,2016-08-20
8724672382104,Cookie,3,Cash,Takeaway,2016-12-07
0264947351162,Salad,3,Credit Card,In-store,2016-03-19
5729354585951,Coffee,2,Digital Wallet,Takeaway,2016-02-10
2232374324002,Cookie,3,Credit Card,Takeaway,2016-06-17
6200624080288,Cake,2,Credit Card,Takeaway,2016-06-30
0033535681703,Salad,2,Cash,Takeaway,2016-05-30
3911768774027,Salad,2,Credit Card,In-store,2016-08-10
1195983765585,Cake,3,Digital Wallet,In-store,2016-03-16
6746850123387,Smoothie,1,Cash,In-store,2016-07-19
5857379522177,Cookie,3,Credit Card,In-store,2016-03-14
8639977350560,Soda,2,Credit Card,Takeaway,2016-02-16
3492722795222,Water,2,Credit Card,In-store,2016-04-25
7121268011911,Ice Cream,2,Credit Card,Takeaway,2016-08-22
1802814452674,Water,2,Cash,In-store,2016-03-01
9213836339133,Coffee,2,Digital Wallet,Takeaway,2016-09-15
7401725541442,Smoothie,2,Digital Wallet,Takeaway,2016-02-13
5816466971694,Ice Cream,1,Credit Card,In-store,2016-06-11
4135740644958,Milk,1,Cash,Takeaway,2016-07-29
7468748428174,Water,3,Cash,Takeaway,2016-12-25
2420320329946,Cake,3,Credit Card,In-store,2016-07-04
5737731763120,Milk,3,Digital Wallet,Takeaway,2016-05-07
3441527464376,Coffee,3,Credit Card,Takeaway,2016-12-14
4777876923592,Ice Cream,2,Digital Wallet,In-store,2016-10-07
2777765015843,Ice Cream,1,Digital Wallet,In-store,2016-12-03
8787691295268,Sandwich,3,Digital Wallet,Takeaway,2016-02-21
8230355900348,Salad,2,Cash,Takeaway,2016-06-12
9573186131192,Tea,1,Cash,In-store,2016-11-07
3867300420139,Tea,1,Digital Wallet,Takeaway,2016-05-31
7527531584197,Tea,3,Digital Wallet,Takeaway,2016-06-12
9587466566925,Sandwich,3,Credit Card,Takeaway,2016-07-27
